User_Need,REQ_ID,Requirement_Description,Design_Ref,TEST_ID,RISK_ID,Label_Ref,PMS_Ref,Verification_Status
UN-001,REQ-HD-001,Critical Anemia Detection (Sensitivity ≥90%),SDD-001 §3.4 Rules Engine | §3.5 HemoAI | §3.7 Alert Orchestrator,TEST-HD-011,RISK-HD-001 | RISK-HD-101,IFU-001 §Performance | §Warnings,PMS-001 §SLAs | §Real-world Sensitivity,PASS
UN-002,REQ-HD-002,CBC Data Ingestion and Validation (Unit conversion + LOINC mapping),SDD-001 §3.2 Ingestion Service | §3.3 Validation Service,TEST-HD-013,RISK-HD-101 | RISK-HD-402,IFU-001 §Data Entry,PMS-001 §Error Logs,PASS
UN-003,REQ-HD-003,Clinical Rationale Transparency (Display rules + evidence sources),SDD-001 §3.4 Rules Engine | §3.5 HemoAI | §3.8 UI Service,TEST-HD-017,RISK-HD-008 | RISK-HD-401,IFU-001 §Instructions | §Training,PMS-001 §Override Rates,PASS
UN-004,REQ-HD-004,Audit Trail and Logging (WORM logs + LGPD compliance),SDD-001 §3.9 Audit Service | §4.1 Data Model,TEST-HD-018,RISK-HD-103 | RISK-HD-404,IFU-001 §Privacy,PMS-001 §Audits,PASS
UN-005,REQ-HD-005,LIS/HIS Integration API (REST + OIDC/OAuth2 authentication),SDD-001 §3.1 API Gateway | §3.2 Ingestion Service,TEST-HD-019,RISK-HD-104 | RISK-HD-201,IFU-001 §Integration,PMS-001 §API Metrics,PASS
UN-002,NFR-001,Performance (P95 ≤ 2s latency | 1000 cases/hour throughput),SDD-001 §8 Performance Design | Kubernetes HPA,TEST-HD-015,RISK-HD-006 | RISK-HD-105,IFU-001 §Performance,PMS-001 §Ops KPIs,PASS
UN-004,NFR-002,Reliability (99.5% uptime | Automated regression testing),SDD-001 §8 Performance Design | §7.1 Fail-Safe Strategies,TEST-HD-014,RISK-HD-102 | RISK-HD-105 | RISK-HD-106,IFU-001 §Fallback,PMS-001 §SLAs,PASS
UN-005,NFR-003,Security & Cybersecurity (RBAC + MFA + TLS 1.3 + AES-256 + SBOM),SDD-001 §6 Security & Cybersecurity Design | SEC-001,TEST-HD-015 | TEST-HD-016,RISK-HD-201 | RISK-HD-202 | RISK-HD-203 | RISK-HD-205 | RISK-HD-206 | RISK-HD-301,IFU-001 §Cyber | §Security,PMS-001 §Vuln Mgmt | §Security Incidents,PASS
UN-003,NFR-004,Privacy (Data minimization + Pseudonymization + LGPD/GDPR compliance),SDD-001 §3.9 Audit Service | SEC-001 §DPIA,TEST-HD-017,RISK-HD-201 | RISK-HD-206,IFU-001 §Privacy,PMS-001 §Audits,PASS
UN-002,REQ-HD-012,Alert Prioritization and Throttling (Manage alert burden),SDD-001 §3.7 Alert Orchestrator,TEST-HD-012,RISK-HD-005 | RISK-HD-002,IFU-001 §Warnings | §Instructions,PMS-001 §Alert Metrics,PENDING
UN-003,REQ-HD-020,Override Capability with Mandatory Justification (Mitigate automation bias),SDD-001 §3.8 UI Service | §3.9 Audit Service,TEST-HD-017,RISK-HD-008 | RISK-HD-404,IFU-001 §Training | §Instructions,PMS-001 §Override Rates,PENDING
UN-004,REQ-HD-050,High Availability Architecture (System reliability ≥99.5%),SDD-001 §8 Performance Design | Load Balancing + Failover,TEST-HD-015,RISK-HD-105,IFU-001 §Fallback,PMS-001 §SLAs,PENDING
UN-005,REQ-HD-060,Cybersecurity Architecture (SBOM + SAST/DAST + Secure Updates),SDD-001 §6 Security | SEC-001,TEST-HD-016,RISK-HD-201 | RISK-HD-203 | RISK-HD-301,IFU-001 §Cyber,PMS-001 §Vuln Mgmt,PENDING
UN-001,DESIGN-CRIT-001,False Negative Detection Threshold (Hb <7.5 g/dL safety margin),SDD-001 §3.4 Rules Engine,TEST-HD-011,RISK-HD-001,IFU-001 §Performance,PMS-001 §SLAs,PASS
UN-002,DESIGN-CRIT-002,Reference Range Age/Sex/Pregnancy Adjustment,SDD-001 §3.3 Validation Service,TEST-HD-013,RISK-HD-007,IFU-001 §Data Entry,PMS-001 §Error Logs,PASS
UN-001,DESIGN-CRIT-003,Leukemia Indicator Detection (WBC differential + blast cells),SDD-001 §3.4 Rules Engine,TEST-HD-020,RISK-HD-003,IFU-001 §Performance,PMS-001 §SLAs,PENDING
UN-002,DESIGN-CRIT-004,Differential Diagnosis with Probabilities (Top 3 + confidence),SDD-001 §3.5 HemoAI Inference Service,TEST-HD-021,RISK-HD-004,IFU-001 §Instructions,PMS-001 §Clinical Accuracy,PENDING
UN-003,DESIGN-CRIT-005,Model Version Control and Rollback Capability,SDD-001 §3.6 Model Manager,TEST-HD-022,RISK-HD-106,IFU-001 §Version Info,PMS-001 §Model Performance,PENDING
UN-004,DESIGN-CRIT-006,SOUP Vulnerability Management (CVD + VEX),SOUP-001 | SEC-001 | TEC-001 §5.4,TEST-HD-023,RISK-HD-301 | RISK-HD-302 | RISK-HD-303 | RISK-HD-304 | RISK-HD-305,IFU-001 §Cyber,PMS-001 §Vuln Mgmt,PENDING
UN-005,DESIGN-CRIT-007,Data Integrity Checks (Checksums + Retry Logic),SDD-001 §3.2 Ingestion Service | §3.3 Validation Service,TEST-HD-024,RISK-HD-108,IFU-001 §Data Transmission,PMS-001 §Error Logs,PENDING
UN-003,DESIGN-CRIT-008,Usability Testing per IEC 62366-1 (Critical tasks: Review/Override/Export),SDD-001 §3.8 UI Service,UEF-001,RISK-HD-401 | RISK-HD-403 | RISK-HD-405,IFU-001 §Training,PMS-001 §Usability Issues,PENDING
UN-004,DESIGN-CRIT-009,Immutable Audit Trail with Cryptographic Signatures,SDD-001 §3.9 Audit Service | §4.1 Data Model,TEST-HD-018,RISK-HD-103 | RISK-HD-404,IFU-001 §Privacy,PMS-001 §Audits,PASS
UN-005,DESIGN-CRIT-010,API Rate Limiting and Error Handling (100 req/min + 3x retry),SDD-001 §3.1 API Gateway | §3.2 Ingestion Service,TEST-HD-025,RISK-HD-104,IFU-001 §Integration,PMS-001 §API Metrics,PENDING
